"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: доступ к продуктам с простыми ID (2, 3, 5, 7) должен быть запрещён (403). Если API вернёт 500 — это известный баг BUG-QA1-03.","52","Продукты с простыми ID (2, 3, 5, 7) недоступны для получения","API Test Suite","Fri May 23 06:32:39 UTC 2025","passed","Fri May 23 06:32:39 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testPrimeIdsAreRestricted"
"Проверяет, что сервер отвечает на запрос GET /products с задержкой не менее 100 мс. Если время меньше — фиксируем как известный баг BUG-QA1-07 и пропускаем тест.","155","Проверка, что сервер обрабатывает GET /products минимум за 100 мс","API Test Suite","Fri May 23 06:32:38 UTC 2025","passed","Fri May 23 06:32:38 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testMinimumDelayOf100ms"
"Проверка: обновление продукта с ID, кратным 3, должно быть запрещено (403). Если API вернёт 500 — это известный баг BUG-QA1-02.","21","Нельзя обновить продукт с ID, кратным 3","API Test Suite","Fri May 23 06:32:39 UTC 2025","passed","Fri May 23 06:32:39 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testUpdateForbiddenForIdDivisibleByThree"
"Проверка, что изменение цены продукта более чем на $500 запрещено (403). Если сервер возвращает 500, 200 или 201 — это известная ошибка BUG-QA1-06.","396","Изменение цены более чем на $500 запрещено","API Test Suite","Fri May 23 06:32:38 UTC 2025","passed","Fri May 23 06:32:39 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testPriceChangeMoreThan500IsForbidden"
"Проверка: при создании продукта с ценой > 1000 API должно вернуть 403 Forbidden. Если сервер вернёт 500 — это известный баг BUG-QA1-04.","50","Создание продукта с ценой выше 1000 запрещено","API Test Suite","Fri May 23 06:32:38 UTC 2025","passed","Fri May 23 06:32:38 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testCreateProductWithHighPriceIsForbidden"
"Проверка, что удаление продукта с ценой выше 100 запрещено (403). Если сервер возвращает 500, это известный баг BUG-QA1-05.","60","Удаление продукта с ценой > 100 запрещено","API Test Suite","Fri May 23 06:32:38 UTC 2025","passed","Fri May 23 06:32:38 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testDeleteProductWithPriceOver100IsForbidden"
"Проверка: доступ к продукту с чётным ID должен быть запрещён (403). Если сервер вернёт 500 — это известный баг BUG-QA1-01.","15","Продукты с чётными ID недоступны для получения","API Test Suite","Fri May 23 06:32:38 UTC 2025","passed","Fri May 23 06:32:38 UTC 2025","org.tests.QaLevel1Test","QA Level 1 Tests","org.tests.QaLevel1Test","testEvenIdIsUnavailable"
